,,,,,,,,,,,,
,,,,,,,,,,,,
Sr.No,Attribute Name,Type,Missing Values,Distinct Values,Unique Values,Min,Max,Standard Deviation,Mean,Label,Count,Description
1,Match_id,Numeric,0,577,0,1,577,165.93,288.565,,,Id of the match
2,inning,Numeric,0,4,0,0,4,0.502,1.483,,,The innings
3,batting_team,Nominal,0,13,0,,,,,,,Team that is batting
4,Bowling_team,Nominal,0,13,0,,,,,,,Team that is bowling
5,over,Numeric,0,20,0,1,20,5.674,10.145,,,Over Counter
6,ball,Numeric,0,9,0,1,9,1.808,3.617,,,Ball in Current over
7,Batsman,Nominal,0,436,12,,,,,,,Name of batsman
8,Non-Striker,Nominal,0,431,5,,,,,,,Name of Non-striker batsman
9,Bowler,Nominal,0,334,1,,,,,,,Name of Bowler
10,is_super_over,Numeric,0,2,0,0,1,0.022,0,,,Is this over super over?
11,wide_runs,Numeric,0,6,0,0,5,0.261,0.038,,,Wide run
12,bye_runs,Numeric,0,5,0,0,4,0.116,0.005,,,Bye Run
13,legbye_runs,Numeric,0,6,0,0,5,0.201,0.022,,,LegBye run
14,noball_runs,Numeric,0,5,1,0,5,0.074,0.004,,,No ball/free hit
15,penalty_runs,Numeric,0,2,0,0,5,0.019,0,,,penalty runs
16,batsman_runs,Numeric,0,7,0,0,6,1.59,1.215,,,batsman runs
17,extra_runs,Numeric,0,7,1,0,7,0.353,0.07,,,extra runs
18,total_runs,Numeric,0,8,0,0,7,1.579,1.285,,,total runs on the ball
19,player_dismissed,Nominal,129871,412,75,,,,,,,player dismissed
20,dismissal_kind,Nominal,129871,9,1,,,,,,,dismissal kind
21,fielder,Nominal,131727,421,82,,,,,,,Name of the fielder who caught the ball
